I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,"I'm an introvert, yet I'm someone who feels motivated to try and make other people happy, so it's a little bit of an unique personality combination! I like to do things to entertain others, such as writing books, making skits, etc., but then I feel embarrassed if they like them; hurt if they don't (so there's no winning!). Perhaps due to health issues, I prefer quiet hobbies, like reading, writing, crafting, etc. I'm a person who has old-fashioned morals and values, and I like pets and kids. I'm a good listener when people have things to share, and am empathetic with things they're going through and may want to talk about. I have a big heart and cry at sad movies. One of the struggles with my personality is that I sometimes wonder if people care about me as much as I do about them."
Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree,I'm a very independent person that believes in thinking logically and making up my own mind. I use logic and reasoning to make decisions and try not to react emotionally. I have an open mind and believe that there is always more to learn and that no answer is the only right answer. I believe most people want to be good and do good. I'm a fan of nature and think plants and animals are just as important as people to keeping the Earth a safe place for us all to live. My family is important and I think honesty is always the best policy.
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,"I would say I am somewhere in between an extravert and an introvert, but more extraverted. I like being around other people. I like being in groups and am affectionate towards other people. I am open to knew ideas and like changing things up at times. My interests are mostly stable, but I do look for new hobbies at times. I am good natured and forgiving. I help others if I can. I prefer to be on time and organized. I like my personal space to be clean. I worry about things just as much as the average person. I am stable overall and no better or worse than the people around me."
Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,"I am someone who believes that everyone is a part of the big picture.  I try to be kind and fair to everyone because of this belief.  Every life has some kind of value in my eyes.  I make sure that when people are around me they laugh, they cry, they are entertained.  I want people to see me as a vacation.  Someone they can go to to escape from the world.  I play movies and video games with people so they feel comfortable."
Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,I am a reserved person but at times I try myself to converse with others and share jokes if the gathering is somewhat familiar to me.  I like order and try to be neat and clean. But there are times that I break my rules. Usually I prefer to follow a schedule on my works. I am always concerned about others feelings and emotions. I need little reasons to be worried even though I will not show my worries and concerns to others. I like straight forward activities.  
Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,I am a perfectionist who needs to know that I can do anything I put my mind to and will succeed with the highest quality. I am a caring person who enjoys the ability to work well with others and help them be successful. I am however often depressed and suffer from anxiety. Both have been part of my personality for 20 years. I strive to be a great mom who puts their child first and work hard at making the right decisions. My friends and extended family mean the world to me and I always want to be there to help support them mentally and emotionally. 
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,I am a free spirit who is constantly trying to strive to be better at all aspects of my life.  I constantly need challenge because I do tend to get complacent after time.  I like the unknown and I also like stability in life.  I love the people close to me and try to be as grateful as possible at what I have.  I am constantly searching and never feel that I have enough
Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,"I've always been an outgoing and outspoken person. I suffered a rough childhood that did put me in some dark places. I often felt very poorly of myself. I was also raised without religion and by a mother who was an addict. This also led to abuse and neglect. It eventually led to my use of drugs. I had even tried to commit suicide twice and suffered abusive relationships. I have gone through a 6 month Christian based rehab program that has helped me find both God, and my sense of self value. It truly helped me to forgive, heal, recover, and be a truly good person to both myself and others."
Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,"I would describe myself as friendly but not overly outgoing as I am comfortable talking to just about anybody but am usually not the first person to start a conversation, except with those who I already know reasonably well. I feel empathy for others but I’m also learning to care more for myself and be more confident, especially in situations where I’m experienced or knowledgeable. I value humor but I also strive for balance between frivolity and being down-to-earth and empathetic or sensitive to others’ needs without being a complete buzzkill. "
Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,"I am a person who is naturally quite most of the time. But when I am around people who has similar interest, than I talk a lot. I love nature. I like to spend time with my close family. I don’t like to be center of attention. But, I also don’t like people ignoring me. I talk to lot of people when in party. But I have few close friends. I am very soft at heart. So, I get hurt easily. But this doesn’t make me avoid trusting people. "
Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,I'm a loner and I always have been.  I have always preferred to be alone.  I guess I am kind of selfish in that I just want to do my own thing and not have to worry about what someone else thinks or wants.   I don't really have much to talk about with other people and when others try to talk to my I find myself coming up with excuses to get out of the conversation or make it brief as possible.   The only people I really care to talk about are my family because I do care about them although I wouldn't consider myself that attached to them.  I am okay with living a isolated existence.   I keep a dog as my companion.   I wish I could just  live off the grid completely sometimes.    
Neutral,Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,"I feel my personality is similar to most people.  I see myself as someone who is rational, calm, emotionally stable, and generally trusting.  I do not let my emotions take control over me, and am usually objective in dealing with situations and people.  I see the rational side of things, and make decisions based on facts and information, rather than emotions.  I tend to follow my brain more so than my heart, although I will rely on my gut instincts at times when I am unfamiliar with a given situation.  I also see myself as someone who is caring and am generally trusting of others.  I give people the benefit of the doubt until proven wrong.  I care about others emotions, and make sure my actions do not cause anybody emotional harm.  Overall, I would describe myself as rational, sincere and trusting."
Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,"I am mostly outgoing.  I enjoy people and I enjoy talking to new people and getting to know them.  I am a social butterfly when at a party. However, I'm also happy with my own company, sitting and reading a book or doing craft work.  I do my best to be happy and make those around me feel happy and safe.  I am fiercely loyal to my friends and family, and my closest friends ARE family to me.  A large percentage of my close friend group, I have known for decades.  When I find good people, I keep them close in my heart, even if we aren't close geographically (yay, technology!!)"
Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,I am shy around people I don't know well but am open and honest with people I am comfortable with. I stress about things that haven't happened yet and might not even happen and work myself up. I try to think about what I say before saying it to avoid hurting peoples' feelings. I am quick to overreact and end up feeling guilty and ashamed. I care about what is going on with other people and find myself caring too much.
