I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Disagree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,"As it pertains to the five personality traits listed above, I do consider myself to have a little bit of each with the exception of extroversion. Over the years, I have most definitely grown to become a bit more of an introvert and tend to keep to myself. Generally speaking, I am not  fan of large crowds and when I do have a jam-packed week or weekend, I do enjoy some “downtime” or a “break” to collect myself and sort-of mentally recharge. That being said, I am also an emotional person and take my work very seriously. Being a hardworking human is just how I was brought up, especially from my parents. I also take the time to be kind and respectful to others, and listen when I am needed. Treating others how you’d wanted to be treated is truly a motto I live by."
Neutral,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,"I have am moderately introverted. I will be extroverted when necessary. Such as I sit on the board for my HOA so therefore I have to be extrovert at times. Most times I am ok at social events with not talking to many people. I am fairly agreeable and even if I don’t agree with someone I can be kind about it. I am highly Conscientiousness. I am honest , hard working and trustworthy. I am low Neuroticism, I am very calm and it takes a lot to rile me up. I am moderately open to new experiences as long as danger or risk is not involved, such as on a trip to TX I went zip lining which I had never done before. "
Disagree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,"I have high levels of Agreeableness and Openness to Experience, because I like to get along with people and I like new experiences and intellectual pursuits. I would also say I have fairly high level of Conscientiousness, because I work hard and I'm honest. I have very low levels of Extroversion and Neuroticism. Those two do not describe me at all."
Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,"I am more Conscientiousness than anything since I prefer a clean home and clean room along with an orderly life over everything else. I am also very agreeable since I dislike feuds and arguing with others. I am not extroverted since I prefer to not talk to a bunch of people and am not very social. I am not Neurotic and do not have much openness to experience since I am not very emotional and do not seek new experiences. However, I would have to say their there are times that I can be slightly extroverted and have openness to experience since there are certain work related projects in which I might want the opinions and/or help of others. "
Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,"I am very sociable and easy going. I like to spend time in other people's company and I like team work. I am happiest when I am with my friends and/or family, Like sharing experiences with others."
Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,I feel like I'm a very balanced and even keel kind of person. I can be very outgoing but I also enjoy my time alone and some privacy. I'm also the kind of person who can see other people's perspectives very well but I'm not afraid to clash with someone over something I feel is important and they are wrong. I try to do my best and work hard and be forthcoming but there are times when I'm burnt out and I need a break and some people don't want to hear the truth so you don't tell them. I am very low strees and laid back though it takes a lot to upset me and I enjoy a good adventure now and then but not every day and nothing that puts my health or safety at risk.
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,"I do not like talking to strangers or making new friends. I don't like talking to people I don't really know. I am very polite and I like to get along with everyone. I don't like to cause waves or argue. I work hard and prefer my house to be kept in order. I do stress easily about things, and sometimes it affects my entire mood or day. I am not one to do new things. I prefer to order the tried and true and do the same old things. I am fearful of new experiences most of the time. "
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,I am a people pleaser. I enjoy being helpful but can only take interacting with people in small doses. I am pretty laid back most of the time and tend to handle stress very well. I am in my head a lot and often dream about the future and my role in it. I like steadiness and a sense of security. Overall I am stable and even tempered.
Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,"I tend to draw my energy from time to myself, and adapting my behavior to suit others expends that energy. I am honest, and tend to follow rules.  I like to have a schedule to follow, but can't seem to get my life organized.  I have a tendency to get depressed, and stress out much more easily than I would like. I don't tend to seek out new experiences, but do engage in a variety of intellectual pursuits."
Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,I am a very quiet person unless I know you.  I really don't like to be around people unless its a social situation.  I tend to change who I am when I'm around people to make them at ease.  I like to hear about people's life and will throw in things that I have done too.  
Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,"My personality tends to be more reserved and quiet. I usually try to avoid disagreements and I like to keep things moving smoothly. Though I have a tendency towards being a bit lazy and messy, I try not to let it affect others. I usually wont be open to new experiences unless I am very comfortable with the situation. I can certainly be high strung and a bit sensitive to stressful situations, so I try to deal with problems quickly  "
Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,"I have no problems talking to and mixing with others, I'm very at ease around people. Not knowing someone isn't going to stop me from talking to them. I do tend to look after others, even those I do not know well. If they do something to betray my trust, then I tend to remember it and not forgive. I'm always willing to try new things, even if it's just for the heck of it. I'm very laid back and easy to get along with. I put my loved ones before myself, always."
Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,"I am fairly outgoing but I also have to spend time on my own to reflect on ideas and have a sense of peace and quiet. I get along with people and not really rude to people. I want to be kind and pleasant as much as possible. But if I am being taken advantage of or being put down, I make it a point to stand up for myself. I highly respect hardwork and ethical behavior. I dislike dishonest fraudulent people. Being honest to others and oneself is always the right thing to do. I am emotional but I don't indulge in hysterics. I have the resilience to get back to work with a clear head. I do have mood swings but it is not very frequent. I tend to react to circumstances and I do indulge in habits that are meditative to help me calm my mind have the lucidity to understand things and have a proper perspective. I would like to enrich my knowledge and think about future. I have a vivid imagination and I like to be inventive and innovative. I daydream a lot and I am very creative. "
Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I believe I have a high level of agreeableness and somewhat high in neuroticism. I don't mind agreeing with others even if I really don't. I think superficial conversations aren't really meant to be deep. It's just meant to be friendly and polite. I can also be a really emotional person and become stressed easily over small and big things. I can often times get really overwhelmed and get bad anxiety from it. An example would be hearing unexpected bad news and dwelling on it for days and not being able to sleep because of it.
